device;ano-mes;sensor;valor_maximo;valor_medio;valor_minimo
sirrosteste_UCS_AMV-03;2023-10;temperatura;27.70;24.41;22.60
sirrosteste_UCS_AMV-03;2023-10;umidade;76.20;71.11;55.10
sirrosteste_UCS_AMV-03;2023-10;luminosidade;3586.20;27.44;0.00
sirrosteste_UCS_AMV-03;2023-10;ruido;105.90;69.69;54.60
sirrosteste_UCS_AMV-03;2023-10;eco2;322.00;5.04;0.00
sirrosteste_UCS_AMV-03;2023-10;etvoc;1679.00;435.71;400.00
sirrosteste_UCS_AMV-03;2023-05;temperatura;27.20;25.41;21.20
sirrosteste_UCS_AMV-03;2023-05;umidade;69.10;55.10;45.00
sirrosteste_UCS_AMV-03;2023-05;luminosidade;3196.70;343.48;0.00
sirrosteste_UCS_AMV-03;2023-05;ruido;101.30;80.29;0.00
sirrosteste_UCS_AMV-03;2023-05;eco2;886.00;127.60;0.00
sirrosteste_UCS_AMV-03;2023-05;etvoc;2558.00;963.84;400.00
sirrosteste_UCS_AMV-03;2023-04;temperatura;31.00;26.64;0.00
sirrosteste_UCS_AMV-03;2023-04;umidade;67.50;47.01;0.00
sirrosteste_UCS_AMV-03;2023-04;luminosidade;682.50;34.82;0.00
sirrosteste_UCS_AMV-03;2023-04;ruido;120.00;80.43;0.00
sirrosteste_UCS_AMV-03;2023-04;eco2;1187.00;19.63;0.00
sirrosteste_UCS_AMV-03;2023-04;etvoc;3567.00;511.57;0.00
sirrosteste_UCS_AMV-03;2023-02;temperatura;41.80;31.89;24.20
sirrosteste_UCS_AMV-03;2023-02;umidade;57.50;47.44;29.90
sirrosteste_UCS_AMV-03;2023-02;luminosidade;54612.50;124.39;0.00
sirrosteste_UCS_AMV-03;2023-02;ruido;120.00;66.47;0.00
sirrosteste_UCS_AMV-03;2023-02;eco2;1187.00;433.45;0.00
sirrosteste_UCS_AMV-03;2023-02;etvoc;3527.00;1661.47;0.00
sirrosteste_UCS_AMV-03;2023-01;temperatura;34.00;32.17;24.20
sirrosteste_UCS_AMV-03;2023-01;umidade;60.10;45.94;30.50
sirrosteste_UCS_AMV-03;2023-01;luminosidade;1169.20;1.76;0.00
sirrosteste_UCS_AMV-03;2023-01;ruido;110.30;64.66;0.00
sirrosteste_UCS_AMV-03;2023-01;eco2;1187.00;378.26;0.00
sirrosteste_UCS_AMV-03;2023-01;etvoc;3081.00;1340.30;400.00
