device;ano-mes;sensor;valor_maximo;valor_medio;valor_minimo
sirrosteste_UCS_AMV-06;2024-08;temperatura;26.60;18.75;12.80
sirrosteste_UCS_AMV-06;2024-08;umidade;99.90;81.26;45.80
sirrosteste_UCS_AMV-06;2024-08;luminosidade;1221.30;91.09;0.30
sirrosteste_UCS_AMV-06;2024-08;ruido;120.00;85.78;68.50
sirrosteste_UCS_AMV-06;2024-08;eco2;0.00;0.00;0.00
sirrosteste_UCS_AMV-06;2024-08;etvoc;400.00;400.00;400.00
sirrosteste_UCS_AMV-06;2024-07;temperatura;25.30;13.94;1.70
sirrosteste_UCS_AMV-06;2024-07;umidade;100.00;83.28;35.50
sirrosteste_UCS_AMV-06;2024-07;luminosidade;1284.30;88.96;0.50
sirrosteste_UCS_AMV-06;2024-07;ruido;120.00;83.98;58.20
sirrosteste_UCS_AMV-06;2024-07;eco2;0.00;0.00;0.00
sirrosteste_UCS_AMV-06;2024-07;etvoc;400.00;400.00;400.00
sirrosteste_UCS_AMV-06;2024-05;temperatura;29.00;18.11;7.00
sirrosteste_UCS_AMV-06;2024-05;umidade;99.90;91.20;45.50
sirrosteste_UCS_AMV-06;2024-05;luminosidade;780.80;53.12;0.40
sirrosteste_UCS_AMV-06;2024-05;ruido;120.00;81.79;55.90
sirrosteste_UCS_AMV-06;2024-05;eco2;20.00;20.00;20.00
sirrosteste_UCS_AMV-06;2024-05;etvoc;403.00;403.00;403.00
sirrosteste_UCS_AMV-06;2024-04;temperatura;177.60;19.86;11.90
sirrosteste_UCS_AMV-06;2024-04;umidade;100.00;88.58;44.30
sirrosteste_UCS_AMV-06;2024-04;luminosidade;1370.90;96.94;0.40
sirrosteste_UCS_AMV-06;2024-04;ruido;403.00;82.99;58.00
sirrosteste_UCS_AMV-06;2024-04;eco2;244.00;19.60;-29.17
sirrosteste_UCS_AMV-06;2024-04;etvoc;1598.00;403.63;-51.18
sirrosteste_UCS_AMV-06;2024-03;temperatura;32.60;23.15;13.10
sirrosteste_UCS_AMV-06;2024-03;umidade;100.00;71.44;37.60
sirrosteste_UCS_AMV-06;2024-03;luminosidade;1990.50;84.27;0.10
sirrosteste_UCS_AMV-06;2024-03;ruido;120.00;74.61;41.50
sirrosteste_UCS_AMV-06;2024-03;eco2;897.00;23.11;0.00
sirrosteste_UCS_AMV-06;2024-03;etvoc;2085.00;494.94;400.00
